plm,k,regime,aspect,cell,f_micro_w,n_proteins,status
esm2_3b,10,pk,bpo,pk-bpo,0.1398757143376307,2382,ok
esm2_3b,10,pk,cco,pk-cco,0.3097289383657075,809,ok
esm2_3b,10,pk,mfo,pk-mfo,0.3656658321339436,1057,ok
esm2_650m,3,lk,bpo,lk-bpo,0.5940195806123718,307,ok
esm2_650m,3,lk,cco,lk-cco,0.6048654687800478,181,ok
esm2_650m,3,lk,mfo,lk-mfo,0.5862330264196366,180,ok
esm2_650m,3,nk,bpo,nk-bpo,0.4800762788653909,354,ok
esm2_650m,3,nk,cco,nk-cco,0.5792597793552084,161,ok
esm2_650m,3,nk,mfo,nk-mfo,0.5883930993487764,243,ok
esm2_650m,3,pk,bpo,pk-bpo,0.1494400731942223,2382,ok
esm2_650m,3,pk,cco,pk-cco,0.3322201913559051,809,ok
esm2_650m,3,pk,mfo,pk-mfo,0.41220693520821616,1057,ok
esm2_650m,5,lk,bpo,lk-bpo,0.5852663613028273,307,ok
esm2_650m,5,lk,cco,lk-cco,0.5872721740561601,181,ok
esm2_650m,5,lk,mfo,lk-mfo,0.5618671733959086,180,ok
esm2_650m,5,nk,bpo,nk-bpo,0.45071476350931483,354,ok
esm2_650m,5,nk,cco,nk-cco,0.5487946761397494,161,ok
esm2_650m,5,nk,mfo,nk-mfo,0.5726874569891008,243,ok
esm2_650m,5,pk,bpo,pk-bpo,0.14691859894584136,2382,ok
esm2_650m,5,pk,cco,pk-cco,0.3244904694875155,809,ok
esm2_650m,5,pk,mfo,pk-mfo,0.39900690028962177,1057,ok
esm2_650m,10,lk,bpo,lk-bpo,0.5501452111235695,307,ok
esm2_650m,10,lk,cco,lk-cco,0.5459842524405921,181,ok
esm2_650m,10,lk,mfo,lk-mfo,0.5472368367595765,180,ok
esm2_650m,10,nk,bpo,nk-bpo,0.4044104531519822,354,ok
esm2_650m,10,nk,cco,nk-cco,0.5128890214459009,161,ok
esm2_650m,10,nk,mfo,nk-mfo,0.5480627054104319,243,ok
esm2_650m,10,pk,bpo,pk-bpo,0.14455802396114675,2382,ok
esm2_650m,10,pk,cco,pk-cco,0.31689130500677604,809,ok
esm2_650m,10,pk,mfo,pk-mfo,0.37665532540969354,1057,ok
esmc_600m,3,lk,bpo,lk-bpo,0.4056744030833883,124,ok
esmc_600m,3,lk,cco,lk-cco,0.39541712774797394,69,ok
esmc_600m,3,lk,mfo,lk-mfo,0.4085236537167954,90,ok
esmc_600m,3,nk,bpo,nk-bpo,0.2657338706228975,145,ok
esmc_600m,3,nk,cco,nk-cco,0.34945534103897086,60,ok
esmc_600m,3,nk,mfo,nk-mfo,0.46117912266979,99,ok
esmc_600m,3,pk,bpo,pk-bpo,0.14949327029274867,942,ok
esmc_600m,3,pk,cco,pk-cco,0.30724443692588654,308,ok
esmc_600m,3,pk,mfo,pk-mfo,0.38964865828510387,401,ok
esmc_600m,5,lk,bpo,lk-bpo,0.3881886744795362,124,ok
esmc_600m,5,lk,cco,lk-cco,0.3996826527069051,69,ok
esmc_600m,5,lk,mfo,lk-mfo,0.3817083805225497,90,ok
esmc_600m,5,nk,bpo,nk-bpo,0.2500549036472603,145,ok
esmc_600m,5,nk,cco,nk-cco,0.34318413599108055,60,ok
esmc_600m,5,nk,mfo,nk-mfo,0.40197556615638397,99,ok
esmc_600m,5,pk,bpo,pk-bpo,0.14556599938578513,942,ok
esmc_600m,5,pk,cco,pk-cco,0.3065533684612949,308,ok
esmc_600m,5,pk,mfo,pk-mfo,0.37751125802446106,401,ok
esmc_600m,10,lk,bpo,lk-bpo,0.5442475283703514,307,ok
esmc_600m,10,lk,cco,lk-cco,0.573498266897179,181,ok
esmc_600m,10,lk,mfo,lk-mfo,0.5516432921066163,180,ok
esmc_600m,10,nk,bpo,nk-bpo,0.4252732695788668,354,ok
esmc_600m,10,nk,cco,nk-cco,0.5302413960637182,161,ok
esmc_600m,10,nk,mfo,nk-mfo,0.5518677996584328,243,ok
esmc_600m,10,pk,bpo,pk-bpo,0.1483409630797188,2382,ok
esmc_600m,10,pk,cco,pk-cco,0.3178339102279963,809,ok
esmc_600m,10,pk,mfo,pk-mfo,0.3838364594517784,1057,ok
prostt5,3,lk,bpo,lk-bpo,0.37533812010312484,124,ok
prostt5,3,lk,cco,lk-cco,0.3998092875264423,69,ok
prostt5,3,lk,mfo,lk-mfo,0.4105816703025249,90,ok
prostt5,3,nk,bpo,nk-bpo,0.25986214118918427,145,ok
prostt5,3,nk,cco,nk-cco,0.3466282917215962,60,ok
prostt5,3,nk,mfo,nk-mfo,0.47167652140548155,99,ok
prostt5,3,pk,bpo,pk-bpo,0.14873820543148872,942,ok
prostt5,3,pk,cco,pk-cco,0.3070950983564248,308,ok
prostt5,3,pk,mfo,pk-mfo,0.3775692536154496,401,ok
prostt5,5,lk,bpo,lk-bpo,0.5511499846389075,307,ok
prostt5,5,lk,cco,lk-cco,0.6097771257253899,181,ok
prostt5,5,lk,mfo,lk-mfo,0.5735059308072255,180,ok
prostt5,5,nk,bpo,nk-bpo,0.43661573705772405,354,ok
prostt5,5,nk,cco,nk-cco,0.5468990918148724,161,ok
prostt5,5,nk,mfo,nk-mfo,0.5770964024943916,243,ok
prostt5,5,pk,bpo,pk-bpo,0.147854672212924,2382,ok
prostt5,5,pk,cco,pk-cco,0.32611960552398395,809,ok
prostt5,5,pk,mfo,pk-mfo,0.39650092928355046,1057,ok
prostt5,10,lk,bpo,lk-bpo,0.5188173582318686,307,ok
prostt5,10,lk,cco,lk-cco,0.5780465529426858,181,ok
prostt5,10,lk,mfo,lk-mfo,0.5500883484223953,180,ok
prostt5,10,nk,bpo,nk-bpo,0.4020666367148626,354,ok
prostt5,10,nk,cco,nk-cco,0.5039183795848012,161,ok
prostt5,10,nk,mfo,nk-mfo,0.5620928948029084,243,ok
prostt5,10,pk,bpo,pk-bpo,0.14680913582666016,2382,ok
prostt5,10,pk,cco,pk-cco,0.31689708324200394,809,ok
prostt5,10,pk,mfo,pk-mfo,0.3802356627533814,1057,ok
prot_t5,3,lk,bpo,lk-bpo,0.5996239122245428,307,ok
prot_t5,3,lk,cco,lk-cco,0.632798585629652,181,ok
prot_t5,3,lk,mfo,lk-mfo,0.5858650310495247,180,ok
prot_t5,3,nk,bpo,nk-bpo,0.49695592500726604,354,ok
prot_t5,3,nk,cco,nk-cco,0.5889789536453162,161,ok
prot_t5,3,nk,mfo,nk-mfo,0.6049714061313783,243,ok
prot_t5,3,pk,bpo,pk-bpo,0.15243062993826506,2382,ok
prot_t5,3,pk,cco,pk-cco,0.33649129054414173,809,ok
prot_t5,3,pk,mfo,pk-mfo,0.4101291681445302,1057,ok
prot_t5,5,lk,bpo,lk-bpo,0.5738513190527825,307,ok
prot_t5,5,lk,cco,lk-cco,0.605660546565695,181,ok
prot_t5,5,lk,mfo,lk-mfo,0.5799650556227267,180,ok
