plm,k,cell,objective,seed,fmax,auprc,smin,wall_seconds,status
esm2_150m,5,pk-mfo,lambdarank,42,0.17436129712128756,,,103.1,ok
esm2_150m,10,nk-bpo,binary,42,0.5570251482147199,,,38.5,ok
esm2_150m,10,nk-cco,binary,42,0.7802596196169436,,,20.3,ok
esm2_150m,10,nk-mfo,binary,42,0.7466506462670256,,,14.0,ok
esm2_150m,10,lk-bpo,binary,42,0.638266116411042,,,18.2,ok
esm2_150m,10,lk-cco,binary,42,0.7534528471159289,,,7.5,ok
esm2_150m,10,lk-mfo,binary,42,0.6841247857840884,,,11.7,ok
esm2_150m,10,pk-bpo,binary,42,0.20567224654199837,,,644.4,ok
esm2_150m,10,pk-cco,binary,42,0.24012458614336687,,,245.6,ok
esm2_150m,10,pk-mfo,binary,42,0.29869554296651263,,,133.0,ok
esm2_150m,10,nk-bpo,lambdarank,42,0.5581072935686543,,,20.8,ok
esm2_150m,10,nk-cco,lambdarank,42,0.7767209399409606,,,18.9,ok
esm2_150m,10,nk-mfo,lambdarank,42,0.7273685022309118,,,15.9,ok
esm2_150m,10,lk-bpo,lambdarank,42,0.631300202371015,,,26.0,ok
esm2_150m,10,lk-cco,lambdarank,42,0.7640670066822398,,,8.2,ok
esm2_150m,10,lk-mfo,lambdarank,42,0.6679385501834965,,,14.7,ok
esm2_150m,10,pk-bpo,lambdarank,42,0.24163561809615322,,,397.3,ok
esm2_150m,10,pk-cco,lambdarank,42,0.39725370866455834,,,204.8,ok
esm2_150m,10,pk-mfo,lambdarank,42,0.18977833895180585,,,124.0,ok
esm2_3b,3,nk-bpo,binary,42,0.6217558596667365,,,30.4,ok
esm2_3b,3,nk-cco,binary,42,0.8271612355789258,,,14.3,ok
esm2_3b,3,nk-mfo,binary,42,0.771298892840744,,,21.5,ok
esm2_3b,3,lk-bpo,binary,42,0.7015710031374573,,,13.3,ok
esm2_3b,3,lk-cco,binary,42,0.8075117738933755,,,6.0,ok
esm2_3b,3,lk-mfo,binary,42,0.7257853520710665,,,9.1,ok
esm2_3b,3,pk-bpo,binary,42,0.34522043541944325,,,341.1,ok
esm2_3b,3,pk-cco,binary,42,0.3613418783222555,,,177.9,ok
esm2_3b,3,pk-mfo,binary,42,0.4447746595581634,,,123.7,ok
esm2_3b,3,nk-bpo,lambdarank,42,0.5601049391811861,,,18.7,ok
esm2_3b,3,nk-cco,lambdarank,42,0.799189336452227,,,9.5,ok
esm2_3b,3,nk-mfo,lambdarank,42,0.7049593279508714,,,7.0,ok
esm2_3b,3,lk-bpo,lambdarank,42,0.6812079356186125,,,7.4,ok
esm2_3b,3,lk-cco,lambdarank,42,0.7364093990827335,,,13.3,ok
esm2_3b,3,lk-mfo,lambdarank,42,0.6591951687167985,,,8.4,ok
esm2_3b,3,pk-bpo,lambdarank,42,0.21046725291306234,,,377.3,ok
esm2_3b,3,pk-cco,lambdarank,42,0.2907018410723558,,,163.3,ok
esm2_3b,3,pk-mfo,lambdarank,42,0.19113027373961192,,,49.0,ok
esm2_3b,5,nk-bpo,binary,42,0.6082319203468326,,,31.5,ok
esm2_3b,5,nk-cco,binary,42,0.8043834169893017,,,9.3,ok
esm2_3b,5,nk-mfo,binary,42,0.7523673903026515,,,9.5,ok
esm2_3b,5,lk-bpo,binary,42,0.6824870542930671,,,18.4,ok
esm2_3b,5,lk-cco,binary,42,0.7967601167096614,,,5.3,ok
esm2_3b,5,lk-mfo,binary,42,0.7183666044319955,,,18.2,ok
esm2_3b,5,pk-bpo,binary,42,0.2983686163854707,,,445.9,ok
esm2_3b,5,pk-cco,binary,42,0.3103535773878903,,,247.9,ok
esm2_3b,5,pk-mfo,binary,42,0.4070763136198889,,,123.2,ok
esm2_3b,5,nk-bpo,lambdarank,42,0.5364091020759035,,,9.3,ok
esm2_3b,5,nk-cco,lambdarank,42,0.780401153606733,,,10.6,ok
esm2_3b,5,nk-mfo,lambdarank,42,0.7151123036870339,,,13.0,ok
esm2_3b,5,lk-bpo,lambdarank,42,0.672171757353933,,,22.8,ok
esm2_3b,5,lk-cco,lambdarank,42,0.7331685693256508,,,4.3,ok
esm2_3b,5,lk-mfo,lambdarank,42,0.687654321260057,,,8.6,ok
esm2_3b,5,pk-bpo,lambdarank,42,0.19025105847955232,,,456.1,ok
esm2_3b,5,pk-cco,lambdarank,42,0.377015638909946,,,117.8,ok
esm2_3b,5,pk-mfo,lambdarank,42,0.18221212532107028,,,101.0,ok
esm2_3b,10,nk-bpo,binary,42,0.5788858293566516,,,43.1,ok
esm2_3b,10,nk-cco,binary,42,0.7799022725676109,,,17.9,ok
esm2_3b,10,nk-mfo,binary,42,0.7375790875668445,,,37.3,ok
esm2_3b,10,lk-bpo,binary,42,0.6383303935065987,,,24.7,ok
esm2_3b,10,lk-cco,binary,42,0.7535286482238398,,,11.1,ok
esm2_3b,10,lk-mfo,binary,42,0.7032183794066348,,,11.8,ok
esm2_3b,10,pk-bpo,binary,42,0.2440919695376568,,,504.4,ok
esm2_3b,10,pk-cco,binary,42,0.26113390696427136,,,293.8,ok
esm2_3b,10,pk-mfo,binary,42,0.3427734372551492,,,175.9,ok
esm2_3b,10,nk-bpo,lambdarank,42,0.5770823390398361,,,18.6,ok
esm2_3b,10,nk-cco,lambdarank,42,0.7713693556634543,,,7.1,ok
esm2_3b,10,nk-mfo,lambdarank,42,0.7258299832993594,,,7.1,ok
esm2_3b,10,lk-bpo,lambdarank,42,0.6363867238151822,,,13.5,ok
esm2_3b,10,lk-cco,lambdarank,42,0.7533183213658526,,,4.2,ok
esm2_3b,10,lk-mfo,lambdarank,42,0.6668402083849043,,,8.3,ok
esm2_3b,10,pk-bpo,lambdarank,42,0.21279317288989225,,,537.2,ok
esm2_3b,10,pk-cco,lambdarank,42,0.4210968381467643,,,241.1,ok
esm2_3b,10,pk-mfo,lambdarank,42,0.19155361780647445,,,74.3,ok
esm2_650m,3,nk-bpo,binary,42,0.6249912077705143,,,14.2,ok
esm2_650m,3,nk-cco,binary,42,0.8251020743063541,,,6.5,ok
esm2_650m,3,nk-mfo,binary,42,0.7569056614161536,,,7.0,ok
esm2_650m,3,lk-bpo,binary,42,0.6930020754264788,,,14.1,ok
esm2_650m,3,lk-cco,binary,42,0.8110259290676519,,,4.8,ok
esm2_650m,3,lk-mfo,binary,42,0.7334168670646749,,,12.8,ok
esm2_650m,3,pk-bpo,binary,42,0.3320557465938802,,,524.3,ok
esm2_650m,3,pk-cco,binary,42,0.32537771409693383,,,193.3,ok
esm2_650m,3,pk-mfo,binary,42,0.37877562959955674,,,95.0,ok
esm2_650m,3,nk-bpo,lambdarank,42,0.5794838928457788,,,7.8,ok
esm2_650m,3,nk-cco,lambdarank,42,0.775641181317696,,,6.7,ok
esm2_650m,3,nk-mfo,lambdarank,42,0.6974062288488901,,,5.4,ok
esm2_650m,3,lk-bpo,lambdarank,42,0.6829916105440683,,,6.8,ok
esm2_650m,3,lk-cco,lambdarank,42,0.7778983473037749,,,8.5,ok
esm2_650m,3,lk-mfo,lambdarank,42,0.6553049430243248,,,4.1,ok
esm2_650m,3,pk-bpo,lambdarank,42,0.21411013283345467,,,274.0,ok
esm2_650m,3,pk-cco,lambdarank,42,0.30556010367825737,,,213.7,ok
esm2_650m,3,pk-mfo,lambdarank,42,0.20190303032446058,,,80.9,ok
esm2_650m,5,nk-bpo,binary,42,0.5957914817748692,,,20.0,ok
esm2_650m,5,nk-cco,binary,42,0.808204681176132,,,8.1,ok
esm2_650m,5,nk-mfo,binary,42,0.7410121349999159,,,9.3,ok
esm2_650m,5,lk-bpo,binary,42,0.6749054270364915,,,11.8,ok
esm2_650m,5,lk-cco,binary,42,0.7908695162195466,,,5.2,ok
esm2_650m,5,lk-mfo,binary,42,0.691026906850315,,,8.8,ok
esm2_650m,5,pk-bpo,binary,42,0.2945750249286366,,,398.5,ok
esm2_650m,5,pk-cco,binary,42,0.30072398571450687,,,316.9,ok
esm2_650m,5,pk-mfo,binary,42,0.38904085992395226,,,91.7,ok
esm2_650m,5,nk-bpo,lambdarank,42,0.5368431450544954,,,13.4,ok
esm2_650m,5,nk-cco,lambdarank,42,0.793739771697338,,,6.0,ok
esm2_650m,5,nk-mfo,lambdarank,42,0.6898277798591618,,,5.5,ok
esm2_650m,5,lk-bpo,lambdarank,42,0.6629168719919254,,,7.1,ok
esm2_650m,5,lk-cco,lambdarank,42,0.7454684142855363,,,4.1,ok
esm2_650m,5,lk-mfo,lambdarank,42,0.6750441616555625,,,16.4,ok
esm2_650m,5,pk-bpo,lambdarank,42,0.2240620156529484,,,206.6,ok
esm2_650m,5,pk-cco,lambdarank,42,0.40555182141796314,,,148.3,ok
esm2_650m,5,pk-mfo,lambdarank,42,0.18762156801955487,,,81.4,ok
esm2_650m,10,nk-bpo,binary,42,0.5436432351302559,,,44.2,ok
esm2_650m,10,nk-cco,binary,42,0.7633678045707656,,,14.8,ok
esm2_650m,10,nk-mfo,binary,42,0.7350203900935969,,,25.6,ok
esm2_650m,10,lk-bpo,binary,42,0.6468347912896301,,,25.5,ok
esm2_650m,10,lk-cco,binary,42,0.7587267180363007,,,7.4,ok
esm2_650m,10,lk-mfo,binary,42,0.6955680031041455,,,10.1,ok
esm2_650m,10,pk-bpo,binary,42,0.2098312916732884,,,494.0,ok
esm2_650m,10,pk-cco,binary,42,0.23116373472254007,,,255.1,ok
esm2_650m,10,pk-mfo,binary,42,0.3151964023003616,,,107.4,ok
esm2_650m,10,nk-bpo,lambdarank,42,0.5481152253287754,,,19.7,ok
esm2_650m,10,nk-cco,lambdarank,42,0.7656165577654966,,,7.8,ok
esm2_650m,10,nk-mfo,lambdarank,42,0.714297778979553,,,10.0,ok
esm2_650m,10,lk-bpo,lambdarank,42,0.6383233566140485,,,14.0,ok
esm2_650m,10,lk-cco,lambdarank,42,0.7501526179878596,,,4.6,ok
esm2_650m,10,lk-mfo,lambdarank,42,0.672829798444714,,,9.1,ok
esm2_650m,10,pk-bpo,lambdarank,42,0.22444256082597808,,,422.0,ok
esm2_650m,10,pk-cco,lambdarank,42,0.4274953239692496,,,172.1,ok
esm2_650m,10,pk-mfo,lambdarank,42,0.17207961408755185,,,128.3,ok
esmc_600m,3,nk-bpo,binary,42,0.5952605845206287,,,4.8,ok
esmc_600m,3,nk-cco,binary,42,0.7416613089979798,,,3.4,ok
esmc_600m,3,nk-mfo,binary,42,0.7757279905078692,,,2.6,ok
esmc_600m,3,lk-bpo,binary,42,0.7148342150796436,,,3.9,ok
esmc_600m,3,lk-cco,binary,42,0.7666495768242462,,,2.4,ok
esmc_600m,3,lk-mfo,binary,42,0.6798587141752928,,,2.9,ok
esmc_600m,3,pk-bpo,binary,42,0.3412662526067207,,,31.1,ok
esmc_600m,3,pk-cco,binary,42,0.2979027458881579,,,25.0,ok
esmc_600m,3,pk-mfo,binary,42,0.43928163036367107,,,11.1,ok
esmc_600m,3,nk-bpo,lambdarank,42,0.5143608686406467,,,5.0,ok
esmc_600m,3,nk-cco,lambdarank,42,0.7067312364616206,,,1.9,ok
esmc_600m,3,nk-mfo,lambdarank,42,0.6551129587177755,,,2.8,ok
esmc_600m,3,lk-bpo,lambdarank,42,0.6762837940758635,,,3.2,ok
esmc_600m,3,lk-cco,lambdarank,42,0.7505414960375915,,,3.4,ok
esmc_600m,3,lk-mfo,lambdarank,42,0.6728111777940097,,,3.6,ok
esmc_600m,3,pk-bpo,lambdarank,42,0.37694542279573806,,,23.2,ok
esmc_600m,3,pk-cco,lambdarank,42,0.4897860246635164,,,13.6,ok
esmc_600m,3,pk-mfo,lambdarank,42,0.2993137265541964,,,7.8,ok
esmc_600m,5,nk-bpo,binary,42,0.5743686981138094,,,6.0,ok
esmc_600m,5,nk-cco,binary,42,0.720181712141667,,,4.1,ok
esmc_600m,5,nk-mfo,binary,42,0.7342155643437321,,,3.8,ok
esmc_600m,5,lk-bpo,binary,42,0.6484574174344058,,,4.2,ok
esmc_600m,5,lk-cco,binary,42,0.7328334413814798,,,2.7,ok
esmc_600m,5,lk-mfo,binary,42,0.672661029451933,,,3.5,ok
esmc_600m,5,pk-bpo,binary,42,0.32931797603796475,,,37.7,ok
esmc_600m,5,pk-cco,binary,42,0.3020927317050996,,,30.8,ok
esmc_600m,5,pk-mfo,binary,42,0.40098317427252933,,,19.8,ok
esmc_600m,5,nk-bpo,lambdarank,42,0.4766794255950895,,,4.1,ok
esmc_600m,5,nk-cco,lambdarank,42,0.7108078051600428,,,2.3,ok
esmc_600m,5,nk-mfo,lambdarank,42,0.6416109757228481,,,2.9,ok
esmc_600m,5,lk-bpo,lambdarank,42,0.607669441321577,,,3.4,ok
esmc_600m,5,lk-cco,lambdarank,42,0.7195553204158991,,,5.1,ok
esmc_600m,5,lk-mfo,lambdarank,42,0.6628048980601177,,,4.8,ok
esmc_600m,5,pk-bpo,lambdarank,42,0.34154032811446355,,,37.5,ok
esmc_600m,5,pk-cco,lambdarank,42,0.484717726865588,,,37.7,ok
esmc_600m,5,pk-mfo,lambdarank,42,0.33519351364160943,,,10.8,ok
esmc_600m,10,nk-bpo,binary,42,0.5748233862078947,,,49.4,ok
esmc_600m,10,nk-cco,binary,42,0.7765824310501642,,,12.8,ok
esmc_600m,10,nk-mfo,binary,42,0.7452176404124061,,,22.9,ok
esmc_600m,10,lk-bpo,binary,42,0.656162670844812,,,24.7,ok
esmc_600m,10,lk-cco,binary,42,0.7608113562585788,,,10.6,ok
esmc_600m,10,lk-mfo,binary,42,0.6888165644156039,,,16.9,ok
esmc_600m,10,pk-bpo,binary,42,0.22504124247067084,,,481.8,ok
esmc_600m,10,pk-cco,binary,42,0.24781414758211393,,,299.4,ok
esmc_600m,10,pk-mfo,binary,42,0.28215481806302845,,,175.5,ok
esmc_600m,10,nk-bpo,lambdarank,42,0.5456087865005791,,,19.9,ok
esmc_600m,10,nk-cco,lambdarank,42,0.7774953118310264,,,6.2,ok
esmc_600m,10,nk-mfo,lambdarank,42,0.7293308055931521,,,10.4,ok
esmc_600m,10,lk-bpo,lambdarank,42,0.639497824861474,,,9.6,ok
esmc_600m,10,lk-cco,lambdarank,42,0.7611681654973683,,,4.7,ok
esmc_600m,10,lk-mfo,lambdarank,42,0.6726017961107593,,,10.4,ok
esmc_600m,10,pk-bpo,lambdarank,42,0.22924542791357252,,,496.1,ok
esmc_600m,10,pk-cco,lambdarank,42,0.3923869338806547,,,219.8,ok
esmc_600m,10,pk-mfo,lambdarank,42,0.2212900032016645,,,102.3,ok
prostt5,3,nk-bpo,binary,42,0.6270654315090364,,,4.8,ok
prostt5,3,nk-cco,binary,42,0.7499488209283915,,,3.3,ok
prostt5,3,nk-mfo,binary,42,0.74620842775859,,,2.7,ok
prostt5,3,lk-bpo,binary,42,0.6976833462692369,,,4.0,ok
prostt5,3,lk-cco,binary,42,0.8005843459593409,,,3.1,ok
prostt5,3,lk-mfo,binary,42,0.6921410485559761,,,3.1,ok
prostt5,3,pk-bpo,binary,42,0.3469459715201193,,,33.7,ok
prostt5,3,pk-cco,binary,42,0.3006716719991285,,,29.9,ok
prostt5,3,pk-mfo,binary,42,0.4767294557223307,,,12.9,ok
prostt5,3,nk-bpo,lambdarank,42,0.4872585042214427,,,3.5,ok
prostt5,3,nk-cco,lambdarank,42,0.6786926022316547,,,2.8,ok
prostt5,3,nk-mfo,lambdarank,42,0.6379463073632738,,,2.2,ok
prostt5,3,lk-bpo,lambdarank,42,0.6562638312735097,,,3.2,ok
prostt5,3,lk-cco,lambdarank,42,0.6970737202871997,,,2.0,ok
prostt5,3,lk-mfo,lambdarank,42,0.67004580883561,,,2.2,ok
prostt5,3,pk-bpo,lambdarank,42,0.3774570245238286,,,23.1,ok
prostt5,3,pk-cco,lambdarank,42,0.44541092538908833,,,17.4,ok
prostt5,3,pk-mfo,lambdarank,42,0.21803110214255228,,,8.1,ok
prostt5,5,nk-bpo,binary,42,0.5848230992475704,,,12.4,ok
prostt5,5,nk-cco,binary,42,0.7991852842049212,,,6.2,ok
prostt5,5,nk-mfo,binary,42,0.7375877311320659,,,5.2,ok
prostt5,5,lk-bpo,binary,42,0.663873072474243,,,8.1,ok
prostt5,5,lk-cco,binary,42,0.7947753134709118,,,4.2,ok
prostt5,5,lk-mfo,binary,42,0.6915412836171723,,,12.6,ok
prostt5,5,pk-bpo,binary,42,0.2830510683340745,,,498.8,ok
prostt5,5,pk-cco,binary,42,0.37070476350796866,,,217.9,ok
prostt5,5,pk-mfo,binary,42,0.35621754681349227,,,99.1,ok
prostt5,5,nk-bpo,lambdarank,42,0.5598660370394628,,,10.4,ok
prostt5,5,nk-cco,lambdarank,42,0.7733465563847183,,,4.1,ok
prostt5,5,nk-mfo,lambdarank,42,0.7112098758994384,,,6.6,ok
